step,t,atom_id,mol_id,x,y,z,S,xlo,xhi,ylo,yhi,zlo,zhi
49,15450.0,592512,836.0,-53.0729,-36.3,-3.45961,-5.15059,-194.71,194.71,-42.458,42.458,-11.011,11.011
50,15500.0,592512,836.0,-54.1527,-35.4628,-3.79269,-4.94125,-196.503,196.503,-42.117,42.117,-11.016,11.016
51,15550.0,592512,836.0,-50.9934,-34.6745,-3.68349,-5.0736,-198.307,198.307,-41.779,41.779,-11.014,11.014
52,15600.0,592512,836.0,-48.4112,-34.9131,-3.70665,-4.99231,-200.123,200.123,-41.443,41.443,-11.007,11.007
53,15650.0,592512,836.0,-46.1351,-34.9744,-2.58968,-5.11648,-201.952,201.952,-41.108,41.108,-11.001,11.001
54,15700.0,592512,836.0,-47.2083,-33.6253,-2.6593,-5.20342,-203.793,203.793,-40.777,40.777,-11.004,11.004
55,15750.0,592512,836.0,-43.6819,-34.4438,-3.32815,-5.14088,-205.646,205.646,-40.447,40.447,-10.992,10.992
56,15800.0,592512,836.0,-44.6857,-33.9132,-3.70313,-5.19408,-207.513,207.513,-40.119,40.119,-10.987,10.987
57,15850.0,592512,836.0,-44.2724,-33.8296,-3.62524,-5.33358,-209.392,209.392,-39.794,39.794,-10.994,10.994
58,15900.0,592512,836.0,-43.4491,-35.2064,-2.87921,-5.18832,-211.284,211.284,-39.471,39.471,-10.99,10.99
59,15950.0,592512,836.0,-45.1348,-32.8027,-2.78173,-5.34753,-213.19,213.19,-39.151,39.151,-10.982,10.982
60,16000.0,592512,836.0,-43.0543,-34.3434,-3.6279,-5.00154,-215.109,215.109,-38.832,38.832,-10.977,10.977
61,16050.0,592512,836.0,-42.2184,-33.9219,-4.25997,-5.0651,-217.041,217.041,-38.516,38.516,-10.983,10.983
62,16100.0,592512,836.0,-39.0226,-35.6543,-4.94672,-5.2862,-218.988,218.988,-38.202,38.202,-10.983,10.983
63,16150.0,592512,836.0,-35.3999,-34.2127,-5.78574,-5.24711,-220.948,220.948,-37.89,37.89,-10.971,10.971
64,16200.0,592512,836.0,-33.2582,-35.4166,-6.02313,-5.32329,-222.923,222.923,-37.58,37.58,-10.962,10.962
65,16250.0,156096,409.0,-57.6854,-36.4689,-3.04147,-4.91023,-224.912,224.912,-37.273,37.273,-10.968,10.968
66,16300.0,953600,983.0,-25.8654,-35.8483,-1.28984,-5.27224,-226.915,226.915,-36.968,36.968,-10.97,10.97
67,16350.0,35584,152.0,-77.8763,-27.9937,-0.913449,-5.27537,-228.934,228.934,-36.665,36.665,-10.97,10.97
68,16400.0,156096,409.0,-59.4948,-36.3054,-0.74042,-5.20187,-230.967,230.967,-36.364,36.364,-10.959,10.959
69,16450.0,244416,535.0,-98.4959,-19.1236,-1.02609,-4.97231,-233.015,233.015,-36.066,36.066,-10.967,10.967
70,16500.0,244416,535.0,-100.194,-19.2554,-0.725915,-5.28957,-235.078,235.078,-35.769,35.769,-10.95,10.95
