xi,yi,zi,Syy,Vx,Vy,aid,step
35,20,11,0.0,4.341894333333333,1.4786466666666664,[476918 476919 476920],0
35,21,11,0.0,6.13957,5.18796,[476931],0
36,2,11,0.0,-6.57291,-3.06474,[919314],0
36,8,11,0.0,-8.68933,0.274822,[810259],0
36,20,11,0.0,4.36523,-2.91712,[477031 477030],0
36,34,11,0.0,-5.00924,1.4105794999999999,[783487 783485],0
36,61,0,0.0,4.12654,1.97592,[270419 932740],0
36,61,4,0.0,3.989340666666667,0.011965483333333396,[472979 472981 472980 472982 472978 472983],0
37,10,11,0.0,-7.25353,0.885956,[201368],0
37,19,11,0.0,-4.63618,2.99671,[435870],0
37,42,11,0.0,-4.14582,4.89279,[163583],0
37,54,11,0.0,4.37501,-3.65993,[136201],0
37,55,11,0.0,-4.21225,1.4522,[319240],0
37,61,1,0.0,4.37354,-5.49585,[654965],0
38,2,11,0.0,4.2132483999999994,0.602134,[669959 686710 686707 686709 955702],0
38,20,11,0.0,5.62599,4.11811,[927326],0
38,61,2,0.0,-7.372870000000001,-1.207822,[226164 226166],0
38,61,8,0.0,5.13618,-3.79563,[795348],0
39,61,2,0.0,-5.27587,1.79511,[226154],0
40,3,11,0.0,5.399905,3.267535,[939999 504479],0
40,7,11,0.0,-4.25915,1.0200065,[463206 463208],0
40,30,11,0.0,7.85011,2.36986,[132978],0
40,53,11,0.0,7.02802,4.0064,[504783],0
40,56,11,0.0,4.8007,-4.86581,[521077],0
41,1,9,0.0,-3.9747695714285713,0.4922022857142857,[135988 906317 955399 955396 955397 906318 955398],0
41,11,11,0.0,-4.57271,0.23960500000000007,[722938 722937],0
41,30,11,0.0,4.17535,-0.10716499999999973,[13304 13306],0
41,32,11,0.0,3.99341,-1.755715,[466185 466184],0
41,35,11,0.0,5.3826525,1.2729899999999998,[984729 984730 984726 984725],0
41,60,11,0.0,6.14561,-4.73383,[259867],0
41,61,3,0.0,-4.4471549999999995,-0.553273,[546197 501627 501625 501628],0
42,38,11,0.0,5.61682,7.079,[636505],0
42,61,2,0.0,-4.76781,0.976816,[210667],0
43,28,11,0.0,-5.138895,-3.785655,[13325 13326],0
43,44,11,0.0,-4.067065,-1.160337,[5293 5295],0
43,61,8,0.0,-7.25928,-2.55611,[602881],0
44,27,11,0.0,-4.083283333333333,-0.8043473333333334,[856028  13335  84000],0
44,29,11,0.0,-7.74287,-2.42064,[752809],0
45,27,11,0.0,-4.65508,1.18054,[13337],0
45,30,11,0.0,-4.80976,0.959111,[781960],0
46,3,11,0.0,-4.197093,1.28433,[492113 810186],0
46,6,11,0.0,9.26981,-1.6734499999999999,[234809 234811],0
46,14,11,0.0,-6.167535,-1.5081425000000002,[427865 427866],0
46,15,11,0.0,5.76336,-0.58254,[39562],0
46,17,11,0.0,4.87854,1.3995929,[266809 861568],0
46,25,11,0.0,8.49133,5.67175,[84021],0
46,36,11,0.0,5.18896,-1.05472,[253699],0
46,61,6,0.0,5.47014,-2.38893,[445615],0
47,45,11,0.0,-4.104945,1.0615504,[658658 658657],0
47,47,11,0.0,3.971535,1.1140562,[892811 892813],0
47,61,10,0.0,4.1576544,1.7367051999999998,[471783 471781 471782 303447 303452],0
48,1,11,0.0,4.87621,-2.41483,[176405],0
48,9,11,0.0,-4.68086,1.73583,[140769 140771 140765],0
48,20,11,0.0,-4.51583,0.9661520000000001,[367199 367229],0
48,22,11,0.0,-4.72817,-2.11483,[320235],0
48,33,11,0.0,-4.65634,4.03845,[984682],0
48,49,11,0.0,-5.87576,3.13732,[704960],0
49,6,11,0.0,-4.78547,2.76533,[692834],0
49,11,11,0.0,-4.18802,-1.25493,[922281],0
49,16,11,0.0,-4.06803,-2.76486,[436113],0
49,25,11,0.0,-6.55206,-3.03691,[592955],0
49,48,11,0.0,-5.401032,2.1438677999999998,[396346 812083 396345 928024 928023],0
49,61,11,0.0,4.63893,-1.489845,[205647  16969],0
50,32,11,0.0,7.28136,-2.57612,[298238],0
50,38,11,0.0,4.00697,3.24313,[66997],0
50,40,11,0.0,-6.36404,2.29583,[405390],0
50,49,11,0.0,4.05375,-2.19499,[308786],0
50,58,11,0.0,6.01099,-2.39326,[841857],0
51,28,11,0.0,5.98082,1.54616,[782006],0
51,31,11,0.0,-7.65497,-2.15621,[298228],0
51,42,11,0.0,4.299895,-3.7231425,[603602 603601 603600  13222],0
52,9,11,0.0,4.07609,1.09298,[884342],0
52,32,11,0.0,-4.0853850000000005,0.4815585,[370007 528940],0
52,36,11,0.0,4.754495,0.13905150000000002,[311682 311683],0
52,53,11,0.0,-5.8302,0.546265,[932907],0
53,10,11,0.0,5.34212,-1.30288,[271824],0
53,25,11,0.0,-8.69745,2.96934,[952695],0
53,29,11,0.0,4.3216925,-1.33753575,[887841 887839 888267 887838],0
53,60,11,0.0,5.51546,-0.180691,[230669],0
54,58,11,0.0,5.944,2.03653,[726226],0
54,61,0,0.0,4.364206666666667,-1.3624362666666665,[946032 946030  69447],0
54,61,2,0.0,4.0213849999999995,1.47770075,[758444 758447 758445 758442],0
55,61,2,0.0,-4.29897,0.842976,[706771],0
55,61,6,0.0,4.45122,1.37591,[560847],0
55,61,8,0.0,6.25292,0.213053,[506049],0
56,1,11,0.0,-5.02204,1.53851,[75002],0
56,22,11,0.0,-4.00754,0.89169,[683618 593069 593070],0
57,1,11,0.0,4.19448,2.46878,[810015],0
57,22,11,0.0,-5.12494,-2.3745,[276599],0
57,26,11,0.0,-4.16622,2.95731,[375981],0
57,51,11,0.0,-8.29839,-1.97844,[456279],0
57,53,11,0.0,-4.78933,-2.00759,[833554],0
57,57,11,0.0,-4.365263,1.9482655,[475013 475012],0
57,61,4,0.0,-5.30919,-0.771806,[181887],0
58,41,11,0.0,-5.31143,2.62935,[489029],0
58,48,11,0.0,4.11311,0.171115,[365925],0
58,55,11,0.0,4.62498,0.3882650000000001,[479371 479369],0
59,10,11,0.0,5.98432,-0.227465,[757421],0
59,23,11,0.0,5.63827,-0.234466,[802034 802033],0
59,36,11,0.0,-5.171063333333334,-1.1040566666666667,[376390 865348 376398],0
59,39,11,0.0,-4.823445,1.2036700000000002,[131522 293762],0
59,46,11,0.0,4.32572,-0.622531,[927940],0
60,24,11,0.0,4.405365,-0.8252315,[571016 571017],0
60,36,11,0.0,-5.813465,3.81279,[763096 763095],0
60,37,11,0.0,-4.06492,2.2539866666666666,[948817 948818 948816],0
60,46,11,0.0,-5.62413,-0.826441,[11281],0
60,58,11,0.0,-4.99031,4.657185,[895402 672126],0
61,3,11,0.0,-5.47064,-1.98442,[826874],0
61,20,11,0.0,6.41035,-1.15387,[683349],0
61,25,11,0.0,6.55296,1.25786,[376191],0
61,56,11,0.0,-4.64138,-0.661194,[213139],0
61,61,11,0.0,5.30606,-1.19996,[977990],0
62,2,11,0.0,5.00887,-2.09432,[341705],0
62,28,11,0.0,5.30727,-0.96962,[494365],0
62,37,11,0.0,4.121919999999999,-1.5752725,[72022 72023],0
62,39,11,0.0,-6.13155,6.39981,[870057],0
62,59,11,0.0,-4.618399999999999,1.7503885,[768434 228983],0
62,61,1,0.0,4.59103,-0.2617250000000001,[511880 511886],0
63,16,11,0.0,5.87209,-1.808,[275016],0
63,19,11,0.0,4.34044,1.44669,[683679],0
63,22,11,0.0,-4.89401,0.755707,[143423],0
63,41,11,0.0,-5.99733,-0.06467,[435238 813508],0
64,12,11,0.0,4.59522,5.72328,[691318],0
64,19,11,0.0,7.77695,1.07308,[502325],0
64,23,11,0.0,4.4809149999999995,-0.8167275,[320645 320647],0
64,32,11,0.0,4.91656,1.36636,[40318],0
64,34,11,0.0,6.61516,-2.48766,[664077],0
64,35,11,0.0,-4.03558,3.44145,[310942],0
64,61,0,0.0,5.99138,-1.91529,[583231],0
65,21,11,0.0,5.47498,-3.78806,[796297],0
65,56,11,0.0,4.88464,-4.33793,[572854],0
65,61,1,0.0,-4.126355,-0.07050999999999985,[719582 719583],0
66,3,11,0.0,-4.4836,2.69539,[448021],0
66,4,11,0.0,-6.59571,-0.865249,[448023],0
66,18,11,0.0,6.7664,-3.05908,[802413],0
66,41,11,0.0,-4.80373,5.36772,[32591],0
66,43,11,0.0,4.07606,-2.71576,[777521],0
66,53,11,0.0,6.05074,-2.89942,[451861],0
67,10,11,0.0,-4.02694,4.99044,[288267],0
67,61,5,0.0,-4.021558333333334,-3.25704,[444963 444016 444962],0
68,43,11,0.0,4.9796,-2.33507,[956633],0
69,10,11,0.0,-4.67005,-0.500335,[903273 903274],0
69,40,11,0.0,-6.22405,-1.56622,[606689],0
69,57,11,0.0,5.160725,-2.792694,[229097 615373],0
69,58,11,0.0,4.817665,-1.785205,[229044 229045],0
69,61,6,0.0,5.0322975,-1.9616850000000001,[134427 372842],0
70,5,11,0.0,4.760645,-0.7001749999999999,[947154  69573],0
70,18,11,0.0,-4.386595,0.27207000000000003,[143506 143509],0
70,21,11,0.0,-4.24621,1.2612320000000001,[117898 117897],0
70,43,11,0.0,-4.66357,0.5043300000000001,[258975 258974],0
70,46,11,0.0,-4.93328,-2.91053,[879196],0
71,7,11,0.0,4.26207,7.64919,[204289],0
71,8,11,0.0,-5.82958,-2.62382,[151256],0
71,10,11,0.0,5.02255,-2.79735,[903290],0
71,46,11,0.0,-4.39613,2.175675,[879186 879185],0
72,0,11,0.0,-4.6949000000000005,3.00865,[192046 192047],0
72,35,11,0.0,5.54233,-3.17344,[556822],0
72,61,0,0.0,4.02431,3.62714,[530526],0
72,61,3,0.0,4.200536666666667,-1.102413,[112967 541711 541712],0
73,0,11,0.0,4.83309,-1.24448,[726916],0
73,12,11,0.0,4.2854,2.15444,[488079],0
73,19,11,0.0,-4.08453,-1.29692,[961123],0
73,28,11,0.0,4.37483,1.0130535,[851310 601173],0
73,35,11,0.0,-4.081576666666667,-2.53947,[556819 556820 556821],0
73,52,11,0.0,4.950445,2.327187,[451904 451905],0
73,61,3,0.0,4.60675,3.85528,[541717],0
74,5,11,0.0,4.15522,3.29898,[151401],0
74,14,11,0.0,-4.20655,-2.06041,[143571],0
74,18,11,0.0,-6.01479,-4.47501,[78030],0
